Name,Phone#,Mailing address,Dep. Head email
Computer Science,1(630)854-3333,321 dunno street,jhummel2@uic.edu
Mechanical Engineering,1(630)-666-0303,4123 gradschool ave,avijay6@uic.edu
Industrial Engineering,1(630)-666-0404,982 yabadabdoo street,ptroy2@uic.edu
Chemical Engineering,1(630)-666-0505,222 boat road,Ubuy2@uic.edu
Bio Engineering,1(630)-666-0606,221 church street,jbell3@uic.edu
Aerospace Engineering,1(630)-666-0707,1234 gradschool ave,omemar2@uic.edu
Mathematics,1(630)-666-0808,2314 gradschool ave,nmobas2@uic.edu
English,1(630)-666-0909,1423 gradschool ave, yliu279@uic.edu
Phsycology,1(630)-666-1010,5555 prof street,dhayes@uic.edu
Kineseology,1(630)-666-1111,777 farfaraway street,mmelnik2@uic.edu
